Business Licence Number,Business ID,Address,Business Licence Type,Type of Residence,Licenced Date,Licenced Expiry Date,Status Description,longitude,latitude,Point
BL236243,15929490,107 CRESTRIDGE PL SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-08-07T14:03:12,2024-08-06T14:03:12,Expired,-114.26042247884494,51.08700588138924,POINT (-114.26042247884494 51.08700588138924)
BL231361,15871924,#407 505 19 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-01-31T22:07:28,2025-01-30T22:07:28,Licensed,-114.07198637451258,51.035812744245554,POINT (-114.07198637451258 51.035812744245554)
BL272653,16384570,#214 1540 29 ST NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-09-03T08:51:23,2024-09-02T08:51:23,Expired,-114.12706809802656,51.067310106061406,POINT (-114.12706809802656 51.067310106061406)
BL271227,16363962,#414 918 MCPHERSON SQ NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-07-18T22:31:41,2024-07-17T22:31:41,Expired,-114.041823037891,51.05058982670671,POINT (-114.041823037891 51.05058982670671)
BL272249,16379638,245 TUSCANY RESERVE RI NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-22T11:57:41,2024-08-21T11:57:41,Expired,-114.25527817196956,51.13267892816484,POINT (-114.25527817196956 51.13267892816484)
BL248450,16087561,1445 15 ST SE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-09-19T15:23:17,2024-09-18T15:23:17,Expired,-114.02539189072586,51.0391552956534,POINT (-114.02539189072586 51.0391552956534)
BL273239,16392110,74 CRANWELL SQ SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-09-20T10:37:08,2025-09-20T10:37:08,Licensed,-113.9833288207392,50.88405593978277,POINT (-113.9833288207392 50.88405593978277)
BL266069,16299893,1011 8 AV SE,SHORT TERM RENTAL - TIER ONE,Coach/lane house,2024-02-27T12:30:06,2025-02-26T12:30:06,Licensed,-114.03817653738209,51.04328888768976,POINT (-114.03817653738209 51.04328888768976)
BL278043,16460057,8343 34 AV NW,SHORT TERM RENTAL - TIER ONE,A bedroom in the home,2024-03-08T09:41:55,2025-03-08T09:41:55,Licensed,-114.20851497056002,51.08922045864205,POINT (-114.20851497056002 51.08922045864205)
BL257264,16179665,128B CALHOUN CM NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-06-27T21:10:18,2024-06-26T21:10:18,Expired,-114.05041836430006,51.18619765573071,POINT (-114.05041836430006 51.18619765573071)
BL270814,16358574,1014 19 AV SE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-07-06T18:23:06,2024-07-05T18:23:06,Closed,-114.03881471819138,51.03640512491182,POINT (-114.03881471819138 51.03640512491182)
BL278278,16462616,159 WHITMAN PL NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-03-26T12:15:02,2025-03-26T12:15:02,Licensed,-113.97677901174941,51.08245110844081,POINT (-113.97677901174941 51.08245110844081)
BL238868,15960198,30 SKYVIEW RANCH CR NE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2023-11-10T13:25:30,2024-11-09T13:25:30,Cancelled,-113.96068766441694,51.15990801854226,POINT (-113.96068766441694 51.15990801854226)
BL279693,16480345,132B EVERGLEN GV SW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-04-18T11:14:03,2025-04-18T11:14:03,Licensed,-114.12518626205642,50.90800639135022,POINT (-114.12518626205642 50.90800639135022)
BL271764,16373003,122 SPRINGBLUFF BV SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-05T16:16:16,2024-08-04T16:16:16,Expired,-114.19348625032521,51.02039518109609,POINT (-114.19348625032521 51.02039518109609)
BL258422,16190936,#2 2116 4 AV NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-07-29T12:30:46,2024-07-28T12:30:46,Closed,-114.10896465053169,51.05661488690638,POINT (-114.10896465053169 51.05661488690638)
BL254860,16154536,58R ROCKYSPRING CI NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-04-17T22:11:45,2025-04-17T22:11:45,Licensed,-114.25511804748832,51.15137949146188,POINT (-114.25511804748832 51.15137949146188)
BL257078,16177875,1067B COPPERFIELD BV SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-06-21T13:33:26,2025-06-21T13:33:26,Licensed,-113.92830425960724,50.91021580088937,POINT (-113.92830425960724 50.91021580088937)
BL276172,16436123,#1606 919 38 ST NE,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-12-28T12:36:01,2024-12-27T12:36:01,Licensed,-113.98031721640577,51.06174693547502,POINT (-113.98031721640577 51.06174693547502)
BL273417,16394751,#1 4821 BOWNESS RD NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-09-26T11:09:49,2024-09-25T11:09:49,Expired - Pending Recommendation,-114.16323102246528,51.07433305904911,POINT (-114.16323102246528 51.07433305904911)
BL259976,16206435,260 MAUNSELL CL NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-09-19T09:53:18,2024-09-18T09:53:18,Expired - Pending Recommendation,-114.00322852729612,51.05857623244868,POINT (-114.00322852729612 51.05857623244868)
BL270419,16352767,#502 235 15 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-06-26T16:36:04,2024-06-25T16:36:04,Expired,-114.06818287894929,51.03853071051933,POINT (-114.06818287894929 51.03853071051933)
BL279082,16473092,#10 1730 11 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-03-28T09:47:43,2025-03-28T09:47:43,Licensed,-114.0896486354113,51.03670571740018,POINT (-114.0896486354113 51.03670571740018)
BL271935,16375693,2203 35 ST SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-08-11T08:31:25,2025-08-11T08:31:25,Licensed,-113.983383749791,51.03455522891029,POINT (-113.983383749791 51.03455522891029)
BL257709,16183899,#1 2433 29 ST SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-07-09T17:34:46,2024-07-08T17:34:46,Closed,-114.12996283165508,51.03193275743995,POINT (-114.12996283165508 51.03193275743995)
BL271466,16368334,68 FONDA CL SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-27T10:03:33,2024-07-26T10:03:33,Expired,-113.97622377313054,51.05029761872249,POINT (-113.97622377313054 51.05029761872249)
BL273894,16401093,259 EVERGLEN WY SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-10-10T19:25:37,2024-10-09T19:25:37,Closed,-114.12492863387529,50.90999411992292,POINT (-114.12492863387529 50.90999411992292)
BL279786,16481699,15238 PRESTWICK BV SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-11-05T12:01:03,2025-11-05T12:01:03,Licensed,-113.9647359681757,50.91811112319938,POINT (-113.9647359681757 50.91811112319938)
BL283286,16523219,2039 5 AV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-10-10T10:16:39,2025-10-10T10:16:39,Licensed,-114.10778743401994,51.057032849567804,POINT (-114.10778743401994 51.057032849567804)
BL273734,16398810,#1408 211 13 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-10-04T16:11:22,2024-10-03T16:11:22,Closed,-114.0600641915193,51.040054512277415,POINT (-114.0600641915193 51.040054512277415)
BL261025,16229106,3410 RICHMOND RD SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-10-23T00:50:14,2025-10-23T00:50:14,Licensed,-114.1353320012263,51.02442110047115,POINT (-114.1353320012263 51.02442110047115)
BL279489,16477879,#9 1735 13 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-04-08T16:17:07,2025-04-08T16:17:07,Closed,-114.09354662144668,51.03643095623325,POINT (-114.09354662144668 51.03643095623325)
BL278686,16467961,206 CITYSIDE GV NE,SHORT TERM RENTAL - TIER ONE,Townhouse,2024-03-21T13:23:24,2025-03-21T13:23:24,Licensed,-113.9671161606353,51.144209021567676,POINT (-113.9671161606353 51.144209021567676)
BL232729,15886922,928R 40 AV NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2024-02-27T10:51:46,2025-02-26T10:51:46,Licensed,-114.08105912392571,51.089041505616485,POINT (-114.08105912392571 51.089041505616485)
BL274198,16405722,#503 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-10-18T19:07:06,2024-10-17T19:07:06,Expired - Pending Recommendation,-114.06542457742671,51.04039798231488,POINT (-114.06542457742671 51.04039798231488)
BL259147,16198509,135 COLERIDGE RD NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-08-20T21:32:45,2024-08-19T21:32:45,Expired - Pending Recommendation,-114.09115924457855,51.087786579776875,POINT (-114.09115924457855 51.087786579776875)
BL272327,16380511,#2 4411 17 AV NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-08-24T10:56:32,2024-08-23T10:56:32,Expired,-114.15761679883599,51.068642184154186,POINT (-114.15761679883599 51.068642184154186)
BL257559,16182586,9431R ELBOW DR SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-05T11:33:00,2024-07-04T11:33:00,Closed,-114.08507031417138,50.97065976778702,POINT (-114.08507031417138 50.97065976778702)
BL280460,16489460,#11 517 15 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-08-09T11:36:57,2025-08-09T11:36:57,Licensed,-114.0726528540387,51.038672122900614,POINT (-114.0726528540387 51.038672122900614)
BL270742,16357865,1048 5 AV NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-07-05T15:08:40,2024-07-04T15:08:40,Expired,-114.03807553451159,51.057328704299245,POINT (-114.03807553451159 51.057328704299245)
BL235076,15916281,#205 1500 7 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-06-24T17:37:05,2024-06-23T17:37:05,Expired - Pending Recommendation,-114.07904397328512,51.03874561064243,POINT (-114.07904397328512 51.03874561064243)
BL258604,16192684,#206 624 8 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-08-05T09:45:58,2024-08-04T09:45:58,Expired,-114.04937919830618,51.045330134872465,POINT (-114.04937919830618 51.045330134872465)
BL267457,16315194,3612 1 ST SW,SHORT TERM RENTAL - TIER TWO,Duplex/triplex,2023-06-22T15:24:48,2024-06-21T15:24:48,Expired,-114.06545189530891,51.022399542798865,POINT (-114.06545189530891 51.022399542798865)
BL278772,16468878,31 CORNERBROOK GA NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-04-05T09:53:18,2025-04-05T09:53:18,Licensed,-113.93409182306262,51.154894949618146,POINT (-113.93409182306262 51.154894949618146)
BL250879,16113383,#2603 221 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-12-10T16:26:23,2024-12-09T16:26:23,Licensed,-114.0587858134723,51.047041409634424,POINT (-114.0587858134723 51.047041409634424)
BL274468,16409013,#3209 655 CENTRE ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-10-26T13:40:01,2024-10-25T13:40:01,Expired,-114.06361902945669,51.046775021232904,POINT (-114.06361902945669 51.046775021232904)
BL274264,16406365,65 RANCHRIDGE WY NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-10-20T13:19:46,2024-10-19T13:19:46,Expired,-114.18728282916051,51.119047714366886,POINT (-114.18728282916051 51.119047714366886)
BL275443,16421489,#7 2208 29 ST SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-11-26T14:54:53,2024-11-25T14:54:53,Licensed,-114.1292818299199,51.034299544565044,POINT (-114.1292818299199 51.034299544565044)
BL275511,16422552,1036 18 ST NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-11-28T14:02:17,2024-11-27T14:02:17,Licensed,-114.01584795340248,51.06187947818919,POINT (-114.01584795340248 51.06187947818919)
BL262627,16260275,5218 32 AV NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-12-15T10:28:14,2024-12-14T10:28:14,Licensed,-114.16142857074583,51.08169088947553,POINT (-114.16142857074583 51.08169088947553)
BL261624,16241671,148 CARRINGTON BV NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-11-13T11:37:56,2024-11-12T11:37:56,Expired - Pending Recommendation,-114.07595674365957,51.181265500025475,POINT (-114.07595674365957 51.181265500025475)
BL261299,16232472,108 DOVERTREE PL SE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-10-31T14:24:37,2024-10-30T14:24:37,Expired - Pending Recommendation,-113.96971111448538,51.029814004520176,POINT (-113.96971111448538 51.029814004520176)
BL270168,16349300,#103 812 14 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-06-19T15:13:05,2024-06-18T15:13:05,Closed,-114.0800308161805,51.040197645566934,POINT (-114.0800308161805 51.040197645566934)
BL264472,16281578,3508 40 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-01-28T18:13:31,2025-01-27T18:13:31,Licensed,-114.13653511385152,51.01950466816199,POINT (-114.13653511385152 51.01950466816199)
BL283079,16520470,127 EDITH DR NW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2024-10-17T11:52:00,2025-10-17T11:52:00,Licensed,-114.16794723659348,51.18824676467825,POINT (-114.16794723659348 51.18824676467825)
BL264526,16282246,241B SAGE BLUFF RI NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-01-30T09:52:25,2025-01-29T09:52:25,Licensed,-114.13628478820364,51.17636587453309,POINT (-114.13628478820364 51.17636587453309)
BL278110,16460743,#2 14 ROSETREE CR NW,SHORT TERM RENTAL - TIER ONE,Legally registered suite,2024-05-29T13:31:20,2025-05-29T13:31:20,Licensed,-114.08777273186507,51.07888941933687,POINT (-114.08777273186507 51.07888941933687)
BL260650,16223893,3517B 2 ST NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2024-10-11T10:53:21,2025-10-11T10:53:21,Licensed,-114.06702843913422,51.083780952324524,POINT (-114.06702843913422 51.083780952324524)
BL273272,16392672,8915 ANCOURT RD SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-09-22T08:25:51,2024-09-21T08:25:51,Closed,-114.05369306318914,50.97327427641566,POINT (-114.05369306318914 50.97327427641566)
BL257104,16178170,395 HIDDEN CREEK BV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-06-23T10:27:33,2024-06-22T10:27:33,Expired,-114.10272951057564,51.16299408027945,POINT (-114.10272951057564 51.16299408027945)
BL281774,16505059,#2206 1010 6 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-09-25T08:00:26,2025-09-25T08:00:26,Licensed,-114.0759641490098,51.04344769600341,POINT (-114.0759641490098 51.04344769600341)
BL232142,15879927,539 ABOYNE CR NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2024-02-11T11:54:06,2025-02-10T11:54:06,Licensed,-113.93365931437333,51.062155205434195,POINT (-113.93365931437333 51.062155205434195)
BL261099,16229858,#3 1313 20 AV NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-10-25T11:47:00,2024-10-24T11:47:00,Expired,-114.09064005395304,51.07037017521183,POINT (-114.09064005395304 51.07037017521183)
BL262433,16258204,#212 1337 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-12-12T14:38:29,2024-12-11T14:38:29,Licensed,-114.09382037496623,51.04112532534531,POINT (-114.09382037496623 51.04112532534531)
BL272661,16384703,99 COVENTRY RD NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-09-04T12:35:42,2024-09-03T12:35:42,Expired,-114.05299897170984,51.16310213532202,POINT (-114.05299897170984 51.16310213532202)
BL260869,16227191,84 AUBURN GLEN HT SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-10-18T23:22:48,2024-10-17T23:22:48,Closed,-113.95429107798071,50.894464954602185,POINT (-113.95429107798071 50.894464954602185)
BL272602,16384091,1968B 40 AV SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2023-09-01T09:02:10,2024-08-31T09:02:10,Expired,-114.10601354275798,51.01825573194396,POINT (-114.10601354275798 51.01825573194396)
BL259508,16201857,4408 RICHMOND RD SW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex,2023-09-01T21:36:20,2024-08-31T21:36:20,Expired,-114.15016462188025,51.019903384267586,POINT (-114.15016462188025 51.019903384267586)
BL270596,16355851,260 24 AV NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2023-07-01T02:04:20,2024-06-30T02:04:20,Expired,-114.05643142754492,51.07446869843207,POINT (-114.05643142754492 51.07446869843207)
BL279208,16474264,601 23 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2024-04-02T14:45:10,2025-04-02T14:45:10,Licensed,-114.07398151696422,51.03224446394334,POINT (-114.07398151696422 51.03224446394334)
BL273679,16398091,#2305 211 13 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2023-10-03T13:20:36,2024-10-02T13:20:36,Closed,-114.06005153842722,51.04019389572693,POINT (-114.06005153842722 51.04019389572693)
BL278441,16464547,5203 VERONICA RD NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2024-03-22T07:59:09,2025-03-22T07:59:09,Licensed,-114.16063391028291,51.094297825668754,POINT (-114.16063391028291 51.094297825668754)
